impl,grid_size,num_thread,seconds
seq,32,1,0.001193
seq,32,2,0.001193
seq,32,4,0.001193
seq,32,8,0.001193
seq,32,16,0.001193
seq,32,32,0.001193
seq,32,1,0.001215
seq,32,2,0.001215
seq,32,4,0.001215
seq,32,8,0.001215
seq,32,16,0.001215
seq,32,32,0.001215
seq,32,1,0.001176
seq,32,2,0.001176
seq,32,4,0.001176
seq,32,8,0.001176
seq,32,16,0.001176
seq,32,32,0.001176
seq,32,1,0.001352
seq,32,2,0.001352
seq,32,4,0.001352
seq,32,8,0.001352
seq,32,16,0.001352
seq,32,32,0.001352
seq,32,1,0.001353
seq,32,2,0.001353
seq,32,4,0.001353
seq,32,8,0.001353
seq,32,16,0.001353
seq,32,32,0.001353
seq,32,1,0.001341
seq,32,2,0.001341
seq,32,4,0.001341
seq,32,8,0.001341
seq,32,16,0.001341
seq,32,32,0.001341
seq,32,1,0.001182
seq,32,2,0.001182
seq,32,4,0.001182
seq,32,8,0.001182
seq,32,16,0.001182
seq,32,32,0.001182
seq,32,1,0.001366
seq,32,2,0.001366
seq,32,4,0.001366
seq,32,8,0.001366
seq,32,16,0.001366
seq,32,32,0.001366
seq,32,1,0.001139
seq,32,2,0.001139
seq,32,4,0.001139
seq,32,8,0.001139
seq,32,16,0.001139
seq,32,32,0.001139
seq,32,1,0.001163
seq,32,2,0.001163
seq,32,4,0.001163
seq,32,8,0.001163
seq,32,16,0.001163
seq,32,32,0.001163
seq,32,1,0.001368
seq,32,2,0.001368
seq,32,4,0.001368
seq,32,8,0.001368
seq,32,16,0.001368
seq,32,32,0.001368
seq,32,1,0.001346
seq,32,2,0.001346
seq,32,4,0.001346
seq,32,8,0.001346
seq,32,16,0.001346
seq,32,32,0.001346
seq,32,1,0.001025
seq,32,2,0.001025
seq,32,4,0.001025
seq,32,8,0.001025
seq,32,16,0.001025
seq,32,32,0.001025
seq,32,1,0.00116
seq,32,2,0.00116
seq,32,4,0.00116
seq,32,8,0.00116
seq,32,16,0.00116
seq,32,32,0.00116
seq,32,1,0.001341
seq,32,2,0.001341
seq,32,4,0.001341
seq,32,8,0.001341
seq,32,16,0.001341
seq,32,32,0.001341
seq,32,1,0.001024
seq,32,2,0.001024
seq,32,4,0.001024
seq,32,8,0.001024
seq,32,16,0.001024
seq,32,32,0.001024
seq,32,1,0.001169
seq,32,2,0.001169
seq,32,4,0.001169
seq,32,8,0.001169
seq,32,16,0.001169
seq,32,32,0.001169
seq,32,1,0.00136
seq,32,2,0.00136
seq,32,4,0.00136
seq,32,8,0.00136
seq,32,16,0.00136
seq,32,32,0.00136
seq,32,1,0.001024
seq,32,2,0.001024
seq,32,4,0.001024
seq,32,8,0.001024
seq,32,16,0.001024
seq,32,32,0.001024
seq,32,1,0.00117
seq,32,2,0.00117
seq,32,4,0.00117
seq,32,8,0.00117
seq,32,16,0.00117
seq,32,32,0.00117
seq,32,1,0.001341
seq,32,2,0.001341
seq,32,4,0.001341
seq,32,8,0.001341
seq,32,16,0.001341
seq,32,32,0.001341
seq,32,1,0.001169
seq,32,2,0.001169
seq,32,4,0.001169
seq,32,8,0.001169
seq,32,16,0.001169
seq,32,32,0.001169
seq,32,1,0.001025
seq,32,2,0.001025
seq,32,4,0.001025
seq,32,8,0.001025
seq,32,16,0.001025
seq,32,32,0.001025
seq,32,1,0.001356
seq,32,2,0.001356
seq,32,4,0.001356
seq,32,8,0.001356
seq,32,16,0.001356
seq,32,32,0.001356
seq,32,1,0.001341
seq,32,2,0.001341
seq,32,4,0.001341
seq,32,8,0.001341
seq,32,16,0.001341
seq,32,32,0.001341
seq,32,1,0.001163
seq,32,2,0.001163
seq,32,4,0.001163
seq,32,8,0.001163
seq,32,16,0.001163
seq,32,32,0.001163
seq,32,1,0.00136
seq,32,2,0.00136
seq,32,4,0.00136
seq,32,8,0.00136
seq,32,16,0.00136
seq,32,32,0.00136
seq,32,1,0.001162
seq,32,2,0.001162
seq,32,4,0.001162
seq,32,8,0.001162
seq,32,16,0.001162
seq,32,32,0.001162
seq,32,1,0.001036
seq,32,2,0.001036
seq,32,4,0.001036
seq,32,8,0.001036
seq,32,16,0.001036
seq,32,32,0.001036
seq,32,1,0.001341
seq,32,2,0.001341
seq,32,4,0.001341
seq,32,8,0.001341
seq,32,16,0.001341
seq,32,32,0.001341
seq,64,1,0.004769
seq,64,2,0.004769
seq,64,4,0.004769
seq,64,8,0.004769
seq,64,16,0.004769
seq,64,32,0.004769
seq,64,1,0.005493
seq,64,2,0.005493
seq,64,4,0.005493
seq,64,8,0.005493
seq,64,16,0.005493
seq,64,32,0.005493
seq,64,1,0.003742
seq,64,2,0.003742
seq,64,4,0.003742
seq,64,8,0.003742
seq,64,16,0.003742
seq,64,32,0.003742
seq,64,1,0.005275
seq,64,2,0.005275
seq,64,4,0.005275
seq,64,8,0.005275
seq,64,16,0.005275
seq,64,32,0.005275
seq,64,1,0.005161
seq,64,2,0.005161
seq,64,4,0.005161
seq,64,8,0.005161
seq,64,16,0.005161
seq,64,32,0.005161
seq,64,1,0.003784
seq,64,2,0.003784
seq,64,4,0.003784
seq,64,8,0.003784
seq,64,16,0.003784
seq,64,32,0.003784
seq,64,1,0.005107
seq,64,2,0.005107
seq,64,4,0.005107
seq,64,8,0.005107
seq,64,16,0.005107
seq,64,32,0.005107
seq,64,1,0.00377
seq,64,2,0.00377
seq,64,4,0.00377
seq,64,8,0.00377
seq,64,16,0.00377
seq,64,32,0.00377
seq,64,1,0.00513
seq,64,2,0.00513
seq,64,4,0.00513
seq,64,8,0.00513
seq,64,16,0.00513
seq,64,32,0.00513
seq,64,1,0.004198
seq,64,2,0.004198
seq,64,4,0.004198
seq,64,8,0.004198
seq,64,16,0.004198
seq,64,32,0.004198
seq,64,1,0.005084
seq,64,2,0.005084
seq,64,4,0.005084
seq,64,8,0.005084
seq,64,16,0.005084
seq,64,32,0.005084
seq,64,1,0.004227
seq,64,2,0.004227
seq,64,4,0.004227
seq,64,8,0.004227
seq,64,16,0.004227
seq,64,32,0.004227
seq,64,1,0.005108
seq,64,2,0.005108
seq,64,4,0.005108
seq,64,8,0.005108
seq,64,16,0.005108
seq,64,32,0.005108
seq,64,1,0.004226
seq,64,2,0.004226
seq,64,4,0.004226
seq,64,8,0.004226
seq,64,16,0.004226
seq,64,32,0.004226
seq,64,1,0.005087
seq,64,2,0.005087
seq,64,4,0.005087
seq,64,8,0.005087
seq,64,16,0.005087
seq,64,32,0.005087
seq,64,1,0.004196
seq,64,2,0.004196
seq,64,4,0.004196
seq,64,8,0.004196
seq,64,16,0.004196
seq,64,32,0.004196
seq,64,1,0.005158
seq,64,2,0.005158
seq,64,4,0.005158
seq,64,8,0.005158
seq,64,16,0.005158
seq,64,32,0.005158
seq,64,1,0.004211
seq,64,2,0.004211
seq,64,4,0.004211
seq,64,8,0.004211
seq,64,16,0.004211
seq,64,32,0.004211
seq,64,1,0.005117
seq,64,2,0.005117
seq,64,4,0.005117
seq,64,8,0.005117
seq,64,16,0.005117
seq,64,32,0.005117
seq,64,1,0.004193
seq,64,2,0.004193
seq,64,4,0.004193
seq,64,8,0.004193
seq,64,16,0.004193
seq,64,32,0.004193
seq,64,1,0.005136
seq,64,2,0.005136
seq,64,4,0.005136
seq,64,8,0.005136
seq,64,16,0.005136
seq,64,32,0.005136
seq,64,1,0.004202
seq,64,2,0.004202
seq,64,4,0.004202
