impl,grid_size,num_thread,seconds
seq,32,1,0.001546
seq,32,1,0.001565
seq,32,1,0.003083
seq,32,1,0.002462
seq,32,1,0.002188
seq,32,1,0.001873
seq,32,1,0.001481
seq,32,1,0.003258
seq,32,1,0.004003
seq,32,1,0.003303
seq,64,1,0.009575
seq,64,1,0.006485
seq,64,1,0.018633
seq,64,1,0.009469
seq,64,1,0.009141
seq,64,1,0.007592
seq,64,1,0.012138
seq,64,1,0.010229
seq,64,1,0.010819
seq,64,1,0.011007
seq,128,1,0.032451
seq,128,1,0.036348
seq,128,1,0.032425
seq,128,1,0.030254
seq,128,1,0.051034
seq,128,1,0.068027
seq,128,1,0.095266
seq,128,1,0.05096
seq,128,1,0.041752
seq,128,1,0.039458
seq,256,1,0.243596
seq,256,1,0.262636
seq,256,1,0.127469
seq,256,1,0.251879
seq,256,1,0.274297
seq,256,1,0.266909
seq,256,1,0.23437
seq,256,1,0.252078
seq,256,1,0.266393
seq,256,1,0.252801
seq,512,1,1.035308
seq,512,1,0.993119
seq,512,1,0.485322
seq,512,1,0.430294
seq,512,1,0.397122
seq,512,1,0.476774
seq,512,1,0.974716
seq,512,1,0.998171
seq,512,1,0.967303
seq,512,1,0.999315
seq,1024,1,1.702221
seq,1024,1,3.354591
seq,1024,1,2.920294
seq,1024,1,3.934733
seq,1024,1,4.025342
seq,1024,1,1.694111
seq,1024,1,3.819648
seq,1024,1,3.932526
seq,1024,1,1.776859
seq,1024,1,2.031285
seq,2048,1,6.600562
seq,2048,1,8.897778
seq,2048,1,8.164354
seq,2048,1,14.378786
seq,2048,1,11.150495
seq,2048,1,9.717634
seq,2048,1,7.684521
seq,2048,1,9.008082
seq,2048,1,14.27906
seq,2048,1,7.717427
seq,4096,1,26.107141
seq,4096,1,28.579882
seq,4096,1,31.653855
seq,4096,1,41.511233
seq,4096,1,27.345835
seq,4096,1,28.856087
seq,4096,1,31.946556
seq,4096,1,32.257782
seq,4096,1,29.226722
seq,4096,1,52.475837
