impl,array_size,num_process,seconds
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,6e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,1,1e-06
custom_bcast,1024,1,1e-06
MPI_Bcast,1024,2,7.1e-05
custom_bcast,1024,2,6.1e-05
MPI_Bcast,1024,2,7.2e-05
custom_bcast,1024,2,3.9e-05
MPI_Bcast,1024,2,6.2e-05
custom_bcast,1024,2,5.2e-05
MPI_Bcast,1024,2,5.8e-05
custom_bcast,1024,2,4e-05
MPI_Bcast,1024,2,5.7e-05
custom_bcast,1024,2,5.7e-05
MPI_Bcast,1024,2,4.5e-05
custom_bcast,1024,2,4.7e-05
MPI_Bcast,1024,2,6.6e-05
custom_bcast,1024,2,5.7e-05
MPI_Bcast,1024,2,5.6e-05
custom_bcast,1024,2,3.9e-05
MPI_Bcast,1024,2,4.5e-05
custom_bcast,1024,2,4.7e-05
MPI_Bcast,1024,2,5e-05
custom_bcast,1024,2,5.2e-05
MPI_Bcast,1024,2,5e-05
custom_bcast,1024,2,7.3e-05
MPI_Bcast,1024,2,5.6e-05
custom_bcast,1024,2,4.7e-05
MPI_Bcast,1024,2,5.5e-05
custom_bcast,1024,2,4.7e-05
MPI_Bcast,1024,2,5.2e-05
custom_bcast,1024,2,6.3e-05
MPI_Bcast,1024,2,4.6e-05
custom_bcast,1024,2,3.9e-05
MPI_Bcast,1024,2,5.4e-05
custom_bcast,1024,2,4.8e-05
MPI_Bcast,1024,2,4.8e-05
custom_bcast,1024,2,4.7e-05
MPI_Bcast,1024,2,4.6e-05
custom_bcast,1024,2,4.8e-05
MPI_Bcast,1024,2,5.8e-05
custom_bcast,1024,2,4.2e-05
MPI_Bcast,1024,2,5.3e-05
custom_bcast,1024,2,4.5e-05
MPI_Bcast,1024,2,5.8e-05
custom_bcast,1024,2,4.6e-05
MPI_Bcast,1024,2,4.9e-05
custom_bcast,1024,2,5.2e-05
MPI_Bcast,1024,2,5.2e-05
custom_bcast,1024,2,4e-05
MPI_Bcast,1024,2,4.5e-05
custom_bcast,1024,2,5.6e-05
MPI_Bcast,1024,2,4.7e-05
custom_bcast,1024,2,4.4e-05
MPI_Bcast,1024,2,4.9e-05
