number_if,array_size,num_thread,seconds
0,32752,1,0.0168
0,32752,1,0.0167
0,32752,1,0.0177
0,32752,1,0.0168
0,32752,1,0.0168
0,32752,1,0.0171
0,32752,1,0.0218
0,32752,1,0.0198
0,32752,1,0.0168
0,32752,1,0.0167
0,32752,1,0.0192
0,32752,1,0.0167
0,32752,1,0.0218
0,32752,1,0.022
0,32752,1,0.0166
0,32752,1,0.0198
0,32752,1,0.0168
0,32752,1,0.0174
0,32752,1,0.0458
0,32752,1,0.0218
0,32752,1,0.0174
0,32752,1,0.0168
0,32752,1,0.0164
0,32752,1,0.0166
0,32752,1,0.0165
0,32752,1,0.0164
0,32752,1,0.0163
0,32752,1,0.0163
0,32752,1,0.0164
0,32752,1,0.017
0,32752,2,0.0089
0,32752,2,0.0089
0,32752,2,0.0088
0,32752,2,0.0087
0,32752,2,0.0087
0,32752,2,0.0086
0,32752,2,0.0088
0,32752,2,0.0087
0,32752,2,0.0089
0,32752,2,0.0088
0,32752,2,0.0086
0,32752,2,0.0085
0,32752,2,0.0087
0,32752,2,0.0088
0,32752,2,0.0086
0,32752,2,0.0091
0,32752,2,0.0086
0,32752,2,0.0085
0,32752,2,0.009
0,32752,2,0.0088
0,32752,2,0.0084
0,32752,2,0.0086
0,32752,2,0.0086
0,32752,2,0.0086
0,32752,2,0.0087
0,32752,2,0.0087
0,32752,2,0.0086
0,32752,2,0.0087
0,32752,2,0.0097
0,32752,2,0.0087
0,32752,4,0.0048
0,32752,4,0.0047
0,32752,4,0.0049
0,32752,4,0.0052
0,32752,4,0.0048
0,32752,4,0.0047
0,32752,4,0.0048
0,32752,4,0.0049
0,32752,4,0.0049
0,32752,4,0.0051
0,32752,4,0.0049
0,32752,4,0.0049
0,32752,4,0.0049
0,32752,4,0.0051
0,32752,4,0.0055
0,32752,4,0.0048
0,32752,4,0.005
0,32752,4,0.005
0,32752,4,0.005
0,32752,4,0.0049
0,32752,4,0.0056
0,32752,4,0.0049
0,32752,4,0.0075
0,32752,4,0.0088
0,32752,4,0.009
0,32752,4,0.0049
0,32752,4,0.0048
0,32752,4,0.0048
0,32752,4,0.0048
0,32752,4,0.0049
0,32752,8,0.0048
0,32752,8,0.0067
0,32752,8,0.0049
0,32752,8,0.0049
0,32752,8,0.005
0,32752,8,0.0067
0,32752,8,0.005
0,32752,8,0.005
0,32752,8,0.0049
0,32752,8,0.0048
0,32752,8,0.0068
0,32752,8,0.005
0,32752,8,0.0049
0,32752,8,0.0061
0,32752,8,0.0069
0,32752,8,0.0055
0,32752,8,0.0068
0,32752,8,0.0048
0,32752,8,0.0049
0,32752,8,0.0068
0,32752,8,0.0051
0,32752,8,0.0066
0,32752,8,0.0048
0,32752,8,0.0068
0,32752,8,0.0048
0,32752,8,0.0049
0,32752,8,0.005
0,32752,8,0.0049
0,32752,8,0.0065
0,32752,8,0.0049
0,32752,16,0.0054
0,32752,16,0.0054
0,32752,16,0.0059
0,32752,16,0.0068
0,32752,16,0.0051
0,32752,16,0.0059
0,32752,16,0.006
0,32752,16,0.0055
0,32752,16,0.0051
0,32752,16,0.005
0,32752,16,0.0051
0,32752,16,0.0065
0,32752,16,0.005
0,32752,16,0.0059
0,32752,16,0.0059
0,32752,16,0.0056
0,32752,16,0.005
0,32752,16,0.0059
0,32752,16,0.0058
0,32752,16,0.005
0,32752,16,0.006
0,32752,16,0.0051
0,32752,16,0.0059
0,32752,16,0.0054
0,32752,16,0.005
0,32752,16,0.0059
0,32752,16,0.006
0,32752,16,0.006
0,32752,16,0.0052
0,32752,16,0.005
0,32752,32,0.0062
0,32752,32,0.0066
0,32752,32,0.0064
0,32752,32,0.0053
0,32752,32,0.006
0,32752,32,0.0065
0,32752,32,0.0053
0,32752,32,0.0061
0,32752,32,0.0056
0,32752,32,0.0071
0,32752,32,0.008
0,32752,32,0.0095
0,32752,32,0.0273
0,32752,32,0.0089
0,32752,32,0.0083
0,32752,32,0.0066
0,32752,32,0.0053
0,32752,32,0.0069
0,32752,32,0.0066
0,32752,32,0.0061
0,32752,32,0.0052
0,32752,32,0.0055
0,32752,32,0.0059
0,32752,32,0.0055
0,32752,32,0.0059
0,32752,32,0.0055
0,32752,32,0.006
0,32752,32,0.006
0,32752,32,0.0054
0,32752,32,0.0055
0,32752,64,0.0085
0,32752,64,0.0069
0,32752,64,0.0072
0,32752,64,0.0079
0,32752,64,0.0081
0,32752,64,0.0076
0,32752,64,0.0076
0,32752,64,0.0057
0,32752,64,0.0066
0,32752,64,0.0073
0,32752,64,0.0081
0,32752,64,0.0071
0,32752,64,0.0073
0,32752,64,0.0073
0,32752,64,0.0086
0,32752,64,0.0071
0,32752,64,0.0065
0,32752,64,0.0076
0,32752,64,0.0055
0,32752,64,0.0056
0,32752,64,0.0069
0,32752,64,0.0085
0,32752,64,0.0088
0,32752,64,0.0073
0,32752,64,0.0074
0,32752,64,0.0058
0,32752,64,0.0076
